Title,Genre
Everybody&#39;s Favorite: Tales from the World&#39;s Worst Perfectionist,"Memoir,Humor,Nonfiction,Biography"
"What Happened To You?: Conversations on Trauma, Resilience, and Healing","Psychology,Nonfiction,Science,Self Help"
My Week With Him,"Contemporary,Young Adult"
"The DIRTY, LAZY, KETO Cookbook: Bend the Rules to Lose the Weight!",Cookbooks
"The One Who Loves You (Tickled Pink, #1)",LGBT
Love Radio,Music
Out of the Corner,Biography
The Better Half,"Chick Lit,Contemporary,Romance,Fiction,Humor"
"The Dragon Republic (The Poppy War, #2)","Fantasy,Historical Fiction"
"10% Happier: How I Tamed the Voice in My Head, Reduced Stress Without Losing My Edge, and Found Self-Help That Actually Works",Self Help
Old Enough,"Romance,LGBT"
"Four Aunties and a Wedding (Aunties, #2)",Humor
The Damages,Contemporary
Brazen: My Unorthodox Journey from Long Sleeves to Lingerie,"Business,Religion,Spirituality"
Karen&#39;s School Picture,Childrens
"River (Warriors: A Starless Clan, #1)",Childrens
Behave: The Biology of Humans at Our Best and Worst,"Psychology,Science"
Remarkably Ruby,Poetry
Paradise Lost,"Poetry,Religion"
Let Me In,"Horror,Mystery"
The Vibrant Years,Chick Lit
Gallant,"Fantasy,Paranormal,Young Adult"
"The Perfect Father: The True Story of Chris Watts, His All-American Family, and a Shocking Murder",Biography
The Undomestic Goddess,Chick Lit
Banyan Moon,"Fiction,Historical Fiction"
"The Eye of the Bedlam Bride (Dungeon Crawler Carl, #6)","Fantasy,Science Fiction,Humor"
You Don’t Know What War Is,Childrens
The Stranger,"Fiction,Philosophy"
"A Game of Lies (DC Morgan, #2)","Fiction,Thriller,Mystery"
The Art Forger,Art
地獄楽 7 [Jigokuraku 7],Comics
The Lives We Actually Have: 100 Blessings for Imperfect Days,Spirituality
"Good Night, Irene","History,Historical Fiction"
Ghostly Game (GhostWalkers #19),Science Fiction
The Meaning of Marriage: Facing the Complexities of Commitment with the Wisdom of God,Christian
"Guards! Guards! (Discworld, #8; City Watch, #1)",Humor
"""Surely You're Joking, Mr. Feynman!"": Adventures of a Curious Character","Science,Biography"
"Red Rain (Nameless: Season One, #4)",Horror
How Sweet It Is  (Fox Family #1),"Contemporary,Christian"
"呪術廻戦 15 (Jujutsu Kaisen, #15)",Manga
Dyscalculia: A Love Story of Epic Miscalculation,Poetry
Two Can Keep a Secret,Young Adult
Wanderlust,"Contemporary,Romance,LGBT,Travel"
"Sugar, Baby",Contemporary
Eat That Frog!: 21 Great Ways to Stop Procrastinating and Get More Done in Less Time,Self Help
Bookshop by the Sea,Christian
"Charming as Puck (The Copper Valley Thrusters, #4)",Sports
Poems for the Signs,Poetry
"Surge (The Taking, #0.5)","Science Fiction,Young Adult"
Thirst,Childrens
"A Time of Gifts (Trilogy, #1)",Travel
The Lonely City: Adventures in the Art of Being Alone,Art
Tex n. 752: Fratello di sangue,Graphic Novels
Three Things I Know Are True,Poetry
Love and Other Words,Romance
怪獣8号 3 [Kaijū 8-gō 3],"Manga,Graphic Novels,Comics"
Write My Name Across the Sky,"Music,Art"
Life,Music
Circe,"Fantasy,Historical Fiction"
Twins,Graphic Novels
Never Lie,"Thriller,Horror"
Better Together (Wolf Creek Ranch #4),Christian
"Covet (Crave, #3)",Paranormal
Small Town Rumors,Christian
The People We Keep,Music
"An Illustrated Life: Drawing Inspiration from the Private Sketchbooks of Artists, Illustrators and Designers",Art
The Pale-Faced Lie,Nonfiction
"Bad Friends 2 (Friends, #2)",Young Adult
"Fruits Basket, Vol. 8",Manga
"Anna and the French Kiss (Anna and the French Kiss, #1)","Contemporary,Romance,Chick Lit"
"My Happy Marriage, Vol. 3 (light novel) (My Happy Marriage (novel), 3)","Manga,Graphic Novels"
The Great Gatsby,"Fiction,Classics"
In Patagonia,Travel
Brain on Fire: My Month of Madness,Memoir
"Dawnlands (The Fairmile, #3)",History
"The Horse and His Boy (Chronicles of Narnia, #5)",Childrens
Ripe,"Fantasy,Science Fiction,Contemporary,Fiction"
In the Heart of the Sea: The Tragedy of the Whaleship Essex,History
Return to Valetto,Historical Fiction
"The Rebound (Looking to Score, #4)",Sports
Born to Run,Music
"Rebel Homemaker: Food, Family, Life",Cookbooks
Spare,Memoir
The Secret Life of Groceries: The Dark Miracle of the American Supermarket,"Business,Science"
The Innovator's Dilemma: The Revolutionary Book that Will Change the Way You Do Business,Business
This Is Where It Ends,Christian
"That Second Chance (Getting Lucky, #1)","Humor,Chick Lit"
Diary of an Awesome Friendly Kid: Rowley Jefferson&#39;s Journal,Comics
The Selfish Gene,Science
Anna Karenina,Classics
"Forever Wild (Wild, #2.5)",Chick Lit
Flight &amp; Anchor,Science Fiction
Someone Else&#39;s Honeymoon,Chick Lit
A Court of Thorns and Roses eBook Bundle: A 5 Book Bundle,"Fantasy,Young Adult"
